support,itemsets
0.02459589517233932,frozenset({'eye redness'})
0.01249940945014747,frozenset({'eye burns or stings'})
0.034006897622277564,frozenset({'symptoms of eye'})
0.024023568000971877,frozenset({'allergic reaction'})
0.018993433085639853,frozenset({'swollen eye'})
0.004801339029608482,frozenset({'sneezing'})
0.042416327522322786,frozenset({'diarrhea'})
0.03012614144850068,frozenset({'blood in stool'})
0.013396370311877813,frozenset({'vomiting blood'})
0.017667226845383924,frozenset({'rectal bleeding'})
0.009525062935741426,frozenset({'changes in stool appearance'})
0.008440475949435434,frozenset({'melena'})
0.015374543589328257,frozenset({'constipation'})
0.025201293135448513,frozenset({'chills'})
0.01973651352865348,frozenset({'wheezing'})
0.010765555083115674,frozenset({'coughing up sputum'})
0.005665229099597076,frozenset({'congestion in chest'})
0.01712459589517234,frozenset({'fluid retention'})
0.004195941066499288,frozenset({'flu-like syndrome'})
0.06636902954099091,frozenset({'abnormal appearing skin'})
0.06161965889840518,frozenset({'skin swelling'})
0.04994094501474687,frozenset({'skin lesion'})
0.04180890481686205,frozenset({'skin growth'})
0.03255988175504667,frozenset({'irregular appearing scalp'})
0.03178373052029129,"frozenset({'skin dryness, peeling, scaliness, or roughness'})"
0.019598831048749047,frozenset({'skin irritation'})
0.050288525785093845,frozenset({'skin rash'})
0.041897993480329625,frozenset({'itching of skin'})
0.032590927804436884,frozenset({'acne or pimples'})
0.007372086901941728,frozenset({'itchy scalp'})
0.019801305283902622,frozenset({'wrist pain'})
0.016192539499348707,frozenset({'ankle pain'})
0.00565375555960504,frozenset({'uterine contractions'})
0.017595685948962995,frozenset({'joint pain'})
0.017182638509249698,frozenset({'foot or toe swelling'})
0.015374543589328257,frozenset({'knee swelling'})
0.024219293094953666,frozenset({'leg swelling'})
0.008448574918841578,frozenset({'ankle swelling'})
0.01948207090647715,frozenset({'hand or finger swelling'})
0.014217065878366977,frozenset({'wrist swelling'})
0.03245459515276681,frozenset({'hostile behavior'})
0.029091498106865902,frozenset({'delusions or hallucinations'})
0.027730196332516686,frozenset({'excessive anger'})
0.027319848549272104,frozenset({'temper problems'})
0.021608050375589705,frozenset({'drug abuse'})
0.016796587634223543,frozenset({'fears and phobias'})
0.02509263196258276,frozenset({'difficulty speaking'})
0.04270114127977215,frozenset({'depression'})
0.039480451112595925,frozenset({'anxiety and nervousness'})
0.02942288093840059,frozenset({'abusing alcohol'})
0.010708862297272671,frozenset({'low self-esteem'})
0.00975790830616804,frozenset({'groin pain'})
0.0025194543994276728,frozenset({'hip stiffness or tightness'})
0.015791640513744626,frozenset({'bones are painful'})
0.008022029196784708,frozenset({'elbow swelling'})
0.019215479830191607,frozenset({'elbow pain'})
0.012718081624113331,frozenset({'arm swelling'})
0.010024499382453584,frozenset({'arm stiffness or tightness'})
0.03529733341432303,frozenset({'peripheral edema'})
0.0038321623573400283,frozenset({'unusual color or odor to urine'})
0.0064859246660862405,frozenset({'jaundice'})
0.006349592014416166,frozenset({'shoulder stiffness or tightness'})
0.008760385240978085,frozenset({'hemoptysis'})
0.01183866852942963,frozenset({'warts'})
0.009875343362557115,frozenset({'impotence'})
0.00748142298892466,frozenset({'swelling of scrotum'})
0.007035979671586791,frozenset({'excessive urination at night'})
0.0034177650893923747,frozenset({'low urine output'})
0.0031633224672160468,frozenset({'hesitancy'})
0.009994803161297725,frozenset({'pain in testicles'})
0.0060445308334514435,frozenset({'symptoms of prostate'})
0.008230577658992893,frozenset({'irregular appearing nails'})
0.005042958283558417,frozenset({'knee stiffness or tightness'})
0.002941275722664291,frozenset({'infant feeding problem'})
0.014327751793584266,frozenset({'pulling at ears'})
0.009984004535422867,frozenset({'hurts to breath'})
0.00901685260550595,frozenset({'irritable infant'})
0.00896420930436602,frozenset({'stomach bloating'})
0.0052575809728212086,frozenset({'symptoms of the kidneys'})
0.016843831622426045,frozenset({'regurgitation.1'})
0.01294350293925098,frozenset({'increased heart rate'})
0.039234782373942914,frozenset({'insomnia'})
0.025024465636747723,frozenset({'irregular heartbeat'})
0.024840888996875147,frozenset({'palpitations'})
0.025028515121450795,frozenset({'fatigue'})
0.003871307376136387,frozenset({'mouth dryness'})
0.010907287047723178,frozenset({'abnormal breathing sounds'})
0.00662023257540478,frozenset({'apnea'})
0.012083662353965458,frozenset({'weight gain'})
0.008204256008422927,frozenset({'rib pain'})
0.018518968461263306,frozenset({'double vision'})
0.010904587391254463,frozenset({'toothache'})
0.00953788630396782,frozenset({'jaw swelling'})
0.008722590050416085,frozenset({'gum pain'})
0.006967138431634575,frozenset({'pain in gums'})
0.01019322791174823,frozenset({'mouth pain'})
0.010041372235383048,frozenset({'restlessness'})
0.008867021671492302,frozenset({'neck swelling'})
0.005934519832351333,frozenset({'back mass or lump'})
0.003209216627184191,frozenset({'arm lump or mass'})
0.004075806353641499,frozenset({'hand or finger lump or mass'})
0.025768895907995706,frozenset({'skin moles'})
0.008158361848454785,frozenset({'neck mass'})
0.013121005352068948,frozenset({'pain of the anus'})
0.006905046332854144,frozenset({'obsessions and compulsions'})
0.0134125682506901,frozenset({'lack of growth'})
0.008119891743775604,frozenset({'antisocial behavior'})
0.011711784675400055,frozenset({'focal weakness'})
0.0073187686866846196,frozenset({'frontal headache'})
0.022082514999966253,frozenset({'diminished hearing'})
0.017086800704610338,frozenset({'plugged feeling in ear'})
0.012708632826472832,frozenset({'fluid in ear'})
0.009237549521823348,frozenset({'symptoms of the face'})
0.021296914967570378,frozenset({'vaginal itching'})
0.00589807447002369,frozenset({'pain during intercourse'})
0.005152969284658527,frozenset({'vaginal redness'})
0.0018634378775300843,frozenset({'breathing fast'})
0.008852848475031552,frozenset({'decreased heart rate'})
0.007315394116098726,frozenset({'throat swelling'})
0.008440475949435434,frozenset({'abnormal movement of eyelid'})
0.007497620927736945,frozenset({'blindness'})
0.002412817968913456,frozenset({'bleeding from eye'})
0.022325484082150546,frozenset({'foreign body sensation in eye'})
0.02119365310764205,frozenset({'spots or clouds in vision'})
0.012073538642207778,frozenset({'redness in ear'})
0.0027455506286825,frozenset({'swollen or red tonsils'})
0.01103484581586993,frozenset({'ringing in ear'})
0.01303461634507009,frozenset({'white discharge from eye'})
0.006594585838951993,frozenset({'eyelid swelling'})
0.00468255414498505,frozenset({'mass on eyelid'})
0.002077385652675697,frozenset({'eyelid lesion or rash'})
0.002417542367733706,frozenset({'kidney mass'})
0.009362408633501388,frozenset({'unpredictable menstruation'})
0.00860043059520676,frozenset({'painful menstruation'})
0.004789865489616446,frozenset({'infertility'})
0.0037801939703172773,frozenset({'frequent menstruation'})
0.010261394237583267,frozenset({'long menstrual periods'})
0.0037498228350442407,frozenset({'itching of the anus'})
0.001845890110483441,frozenset({'mass or swelling around the anus'})
0.0030060674779134357,frozenset({'burning chest pain'})
0.0031815451483798688,frozenset({'pus draining from ear'})
0.0027779465063070725,frozenset({'bleeding from ear'})
0.0032956056341830503,frozenset({'hand or finger weakness'})
0.010046771548320477,frozenset({'regurgitation'})
0.0072883975514115825,frozenset({'hot flashes'})
0.00857613368698833,frozenset({'symptoms of the scrotum and testes'})
0.023612545303610115,frozenset({'lip swelling'})
0.004871530097795056,frozenset({'itchy ear(s)'})
0.013350476151909669,frozenset({'hoarse voice'})
0.0029352014956096836,frozenset({'recent pregnancy'})
0.005008537663582309,frozenset({'hysterical behavior'})
0.007897844999223849,frozenset({'smoking problems'})
0.005223835266962279,frozenset({'back cramps or spasms'})
0.0018647877057644414,frozenset({'back stiffness or tightness'})
0.003760621460919098,frozenset({'diaper rash'})
0.004708200881437837,frozenset({'knee weakness'})
0.007413256663089621,frozenset({'muscle pain'})
0.007272199612599297,frozenset({'hand or finger stiffness or tightness'})
0.012232818373861925,frozenset({'mouth ulcer'})
0.0038571341796756363,frozenset({'bleeding gums'})
0.00970121552032504,frozenset({'throat feels tight'})
0.01087219151362989,frozenset({'lymphedema'})
0.005118548664682419,frozenset({'too little hair'})
0.001826317601085262,frozenset({'dry or flaky scalp'})
0.008228552916641357,frozenset({'groin mass'})
0.0014078708484345367,frozenset({'shoulder lump or mass'})
0.001407195934317358,frozenset({'sore in nose'})
0.005238683377540208,frozenset({'mass in scrotum'})
0.00408997955010225,frozenset({'tongue lesions'})
0.005426984416233034,frozenset({'leg stiffness or tightness'})
0.001382899026098929,frozenset({'joint swelling'})
0.0034589348505402687,"frozenset({'muscle cramps, contractures, or spasms'})"
0.003932049646682459,frozenset({'knee lump or mass'})
0.0013700756578725356,frozenset({'wrist lump or mass'})
0.007949138472129422,frozenset({'leg cramps or spasms'})
0.007098746684484399,frozenset({'slurring words'})
0.002208993905525522,frozenset({'vulvar irritation'})
0.002192795966713236,frozenset({'cloudy eye'})
0.0039583712972524245,frozenset({'stiffness all over'})
0.0031869444613172974,frozenset({'loss of sex drive'})
0.002006519670371945,frozenset({'skin on arm or hand looks infected'})
0.005806286150087402,frozenset({'skin on leg or foot looks infected'})
0.0024182172818508845,frozenset({'excessive appetite'})
0.0035979671586790583,frozenset({'flatulence'})
0.007552288971228411,frozenset({'swollen lymph nodes'})
0.0020780605667928757,frozenset({'nightmares'})
0.0015118076224800395,frozenset({'lump or mass of breast'})
0.0013302557249589989,frozenset({'bleeding or discharge from nipple'})
0.0026605114499179978,frozenset({'pain or soreness of breast'})
0.0010400426545722056,frozenset({'postpartum problems of the breast'})
0.0020834598797303044,frozenset({'itchy eyelid'})
0.0013640014308179285,frozenset({'difficulty eating'})
0.0023621994101250617,frozenset({'absence of menstruation'})
0.004513825615690403,frozenset({'neck stiffness or tightness'})
0.001899883239857728,frozenset({'penis pain'})
0.0010488165380955273,frozenset({'penis redness'})
0.001235092834436818,frozenset({'penile discharge'})
0.0013768247990443216,frozenset({'bumps on penis'})
0.003463659249360519,frozenset({'eye deviation'})
0.001303934074389034,frozenset({'cross-eyed'})
0.0021900963102445214,frozenset({'eye moves abnormally'})
0.0012796371661706048,frozenset({'foot or toe stiffness or tightness'})
0.0009253072546518455,frozenset({'redness in or around nose'})
0.002107081873831555,frozenset({'lump in throat'})
0.0008929113770272733,frozenset({'throat redness'})
0.0008179959100204499,frozenset({'wrinkles on skin'})
0.0009563533040420607,frozenset({'symptoms of infants'})
0.0010359931698691342,frozenset({'wrist stiffness or tightness'})
0.0026699602475584983,frozenset({'swollen abdomen'})
0.0009489292487530962,frozenset({'irregular belly button'})
0.0007889746029817705,frozenset({'early or late onset of menopause'})
0.0006836880007019106,frozenset({'bedwetting'})
0.0007626529524118056,frozenset({'abdominal distention'})
0.0005196838702275136,frozenset({'neck cramps or spasms'})
0.0007741264924038416,frozenset({'shoulder weakness'})
0.0007471299277166981,frozenset({'muscle stiffness or tightness'})
0.001501008996605182,frozenset({'dry lips'})
0.0012681636261785687,frozenset({'vaginal dryness'})
0.0010737883604311352,frozenset({'muscle swelling'})
0.001212145754452746,frozenset({'back weakness'})
0.0005878501960625511,frozenset({'shoulder swelling'})
0.0005817759690079437,frozenset({'recent weight loss'})
0.0025167547429589586,frozenset({'emotional symptoms'})
0.001345103835536928,frozenset({'elbow weakness'})
0.01713471960693002,"frozenset({'sharp abdominal pain', 'side pain'})"
0.015716050132620625,"frozenset({'side pain', 'back pain'})"
0.008955435420842697,"frozenset({'lower abdominal pain', 'side pain'})"
0.01242179432667193,"frozenset({'nausea', 'side pain'})"
0.0068524030317142146,"frozenset({'burning abdominal pain', 'side pain'})"
0.012251041055025749,"frozenset({'vomiting', 'side pain'})"
0.003074233803748473,"frozenset({'side pain', 'fever'})"
0.0050139369765197376,"frozenset({'shortness of breath', 'side pain'})"
0.0027509499416199287,"frozenset({'weakness', 'side pain'})"
0.0076258546100008776,"frozenset({'sharp chest pain', 'side pain'})"
0.0042884043005527546,"frozenset({'leg pain', 'side pain'})"
0.0009887491816666328,"frozenset({'side pain', 'headache'})"
0.005276478568102209,"frozenset({'side pain', 'low back pain'})"
0.001887059871631335,"frozenset({'side pain', 'cough'})"
0.006073552140490122,"frozenset({'sharp abdominal pain', 'side pain', 'back pain'})"
0.003244987075394656,"frozenset({'lower abdominal pain', 'side pain', 'back pain'})"
0.0040832304089304635,"frozenset({'sharp abdominal pain', 'lower abdominal pain', 'side pain'})"
0.0033995424082285527,"frozenset({'nausea', 'side pain', 'lower abdominal pain'})"
0.0033806448129475525,"frozenset({'vomiting', 'lower abdominal pain', 'side pain'})"
0.0014503904378167878,"frozenset({'sharp abdominal pain', 'lower abdominal pain', 'side pain', 'back pain'})"
0.0011028096674698144,"frozenset({'nausea', 'side pain', 'lower abdominal pain', 'back pain'})"
0.0011061842380557074,"frozenset({'vomiting', 'lower abdominal pain', 'side pain', 'back pain'})"
0.0005129347290557276,"frozenset({'lower abdominal pain', 'nausea', 'sharp abdominal pain', 'side pain', 'back pain'})"
0.0016157443965255421,"frozenset({'sharp abdominal pain', 'nausea', 'side pain', 'lower abdominal pain'})"
0.001542178757753076,"frozenset({'sharp abdominal pain', 'vomiting', 'lower abdominal pain', 'side pain'})"
0.0014807615730898242,"frozenset({'vomiting', 'nausea', 'lower abdominal pain', 'side pain'})"
0.0006850378289362678,"frozenset({'lower abdominal pain', 'vomiting', 'nausea', 'sharp abdominal pain', 'side pain'})"
0.004295153441724541,"frozenset({'nausea', 'side pain', 'back pain'})"
0.005840031855946331,"frozenset({'sharp abdominal pain', 'nausea', 'side pain'})"
0.0019322791174823004,"frozenset({'sharp abdominal pain', 'nausea', 'side pain', 'back pain'})"
0.0034710833046494834,"frozenset({'burning abdominal pain', 'nausea', 'side pain'})"
0.0024283409936085632,"frozenset({'burning abdominal pain', 'side pain', 'back pain'})"
0.0017001086611728657,"frozenset({'burning abdominal pain', 'lower abdominal pain', 'side pain'})"
0.003310453744760979,"frozenset({'burning abdominal pain', 'sharp abdominal pain', 'side pain'})"
0.002860960942720039,"frozenset({'burning abdominal pain', 'vomiting', 'side pain'})"
0.0016083203412365777,"frozenset({'burning abdominal pain', 'sharp chest pain', 'side pain'})"
0.0011952729015232812,"frozenset({'burning abdominal pain', 'nausea', 'side pain', 'back pain'})"
0.0012195698097417103,"frozenset({'burning abdominal pain', 'sharp abdominal pain', 'side pain', 'back pain'})"
0.0009610777028623107,"frozenset({'burning abdominal pain', 'vomiting', 'side pain', 'back pain'})"
0.0005527546619692644,"frozenset({'burning abdominal pain', 'nausea', 'sharp abdominal pain', 'side pain', 'back pain'})"
0.0008935862911444519,"frozenset({'burning abdominal pain', 'nausea', 'side pain', 'lower abdominal pain'})"
0.000868614468808844,"frozenset({'burning abdominal pain', 'sharp abdominal pain', 'lower abdominal pain', 'side pain'})"
0.0005878501960625511,"frozenset({'burning abdominal pain', 'vomiting', 'lower abdominal pain', 'side pain'})"
0.0016650131270795792,"frozenset({'burning abdominal pain', 'sharp abdominal pain', 'nausea', 'side pain'})"
0.0014038213637314653,"frozenset({'burning abdominal pain', 'vomiting', 'side pain', 'sharp abdominal pain'})"
0.0014355423272388588,"frozenset({'burning abdominal pain', 'vomiting', 'nausea', 'side pain'})"
0.0007113594795062328,"frozenset({'burning abdominal pain', 'vomiting', 'nausea', 'sharp abdominal pain', 'side pain'})"
0.0008544412723480937,"frozenset({'burning abdominal pain', 'sharp abdominal pain', 'sharp chest pain', 'side pain'})"
0.0008821127511524159,"frozenset({'burning abdominal pain', 'sharp chest pain', 'side pain', 'back pain'})"
0.0008139464253173784,"frozenset({'burning abdominal pain', 'sharp chest pain', 'nausea', 'side pain'})"
0.0007741264924038416,"frozenset({'burning abdominal pain', 'vomiting', 'sharp chest pain', 'side pain'})"
0.0059372194888200475,"frozenset({'sharp abdominal pain', 'vomiting', 'side pain'})"
0.005130022204674455,"frozenset({'vomiting', 'nausea', 'side pain'})"
0.004439585062800759,"frozenset({'vomiting', 'side pain', 'back pain'})"
0.0024276660794913846,"frozenset({'sharp abdominal pain', 'vomiting', 'nausea', 'side pain'})"
0.0019349787739510148,"frozenset({'vomiting', 'nausea', 'side pain', 'back pain'})"
0.0019768234492160875,"frozenset({'sharp abdominal pain', 'vomiting', 'side pain', 'back pain'})"
0.0008773883523321657,"frozenset({'vomiting', 'nausea', 'sharp abdominal pain', 'side pain', 'back pain'})"
0.0015084330518941465,"frozenset({'lower abdominal pain', 'side pain', 'fever'})"
0.0015232811624720755,"frozenset({'nausea', 'side pain', 'fever'})"
0.0011176577780477434,"frozenset({'burning abdominal pain', 'side pain', 'fever'})"
0.0010258694581114552,"frozenset({'sharp abdominal pain', 'side pain', 'fever'})"
0.0015624261812684336,"frozenset({'vomiting', 'side pain', 'fever'})"
0.0007309319889044119,"frozenset({'nausea', 'side pain', 'lower abdominal pain', 'fever'})"
0.0007525292406541268,"frozenset({'vomiting', 'lower abdominal pain', 'side pain', 'fever'})"
0.0007923491735676635,"frozenset({'vomiting', 'nausea', 'side pain', 'fever'})"
0.0005784013984220508,"frozenset({'burning abdominal pain', 'nausea', 'side pain', 'fever'})"
0.0005250831831649423,"frozenset({'burning abdominal pain', 'lower abdominal pain', 'side pain', 'fever'})"
0.0005972989937030513,"frozenset({'burning abdominal pain', 'vomiting', 'side pain', 'fever'})"
0.0005048357596495846,"frozenset({'sharp abdominal pain', 'nausea', 'side pain', 'fever'})"
0.0005520797478520858,"frozenset({'sharp abdominal pain', 'vomiting', 'side pain', 'fever'})"
0.0005169842137587992,"frozenset({'sharp abdominal pain', 'lower abdominal pain', 'side pain', 'fever'})"
0.0009388055369954173,"frozenset({'shortness of breath', 'nausea', 'side pain'})"
0.0014078708484345367,"frozenset({'sharp abdominal pain', 'shortness of breath', 'side pain'})"
0.0015334048742297543,"frozenset({'shortness of breath', 'sharp chest pain', 'side pain'})"
0.0016150694824083635,"frozenset({'shortness of breath', 'side pain', 'back pain'})"
0.0005196838702275136,"frozenset({'shortness of breath', 'sharp chest pain', 'side pain', 'back pain'})"
0.0011055093239385287,"frozenset({'sharp abdominal pain', 'weakness', 'side pain'})"
0.0006701897183583389,"frozenset({'weakness', 'nausea', 'side pain'})"
0.001261414485006783,"frozenset({'shortness of breath', 'weakness', 'side pain'})"
0.0006472426383742669,"frozenset({'leg pain', 'weakness', 'side pain'})"
0.0007802007194584489,"frozenset({'sharp chest pain', 'weakness', 'side pain'})"
0.0005136096431729063,"frozenset({'sharp abdominal pain', 'shortness of breath', 'weakness', 'side pain'})"
0.002966247544999899,"frozenset({'sharp abdominal pain', 'sharp chest pain', 'side pain'})"
0.002375022778351455,"frozenset({'vomiting', 'sharp chest pain', 'side pain'})"
0.003095831055498188,"frozenset({'sharp chest pain', 'side pain', 'back pain'})"
0.0024593870429987785,"frozenset({'sharp chest pain', 'nausea', 'side pain'})"
0.0005149594714072634,"frozenset({'sharp chest pain', 'lower abdominal pain', 'side pain'})"
0.0013673760014038213,"frozenset({'sharp abdominal pain', 'sharp chest pain', 'side pain', 'back pain'})"
0.0013181072708497844,"frozenset({'vomiting', 'sharp chest pain', 'nausea', 'side pain'})"
0.001075813102782671,"frozenset({'vomiting', 'sharp chest pain', 'side pain', 'back pain'})"
0.001215520325038639,"frozenset({'sharp abdominal pain', 'vomiting', 'sharp chest pain', 'side pain'})"
0.0006121471042809803,"frozenset({'sharp chest pain', 'vomiting', 'nausea', 'side pain', 'back pain'})"
0.0005291326678680138,"frozenset({'sharp chest pain', 'vomiting', 'sharp abdominal pain', 'side pain', 'back pain'})"
0.0006674900618896246,"frozenset({'sharp chest pain', 'vomiting', 'nausea', 'sharp abdominal pain', 'side pain'})"
0.0011055093239385287,"frozenset({'sharp chest pain', 'nausea', 'side pain', 'back pain'})"
0.001261414485006783,"frozenset({'sharp abdominal pain', 'sharp chest pain', 'nausea', 'side pain'})"
0.0005345319808054425,"frozenset({'sharp chest pain', 'nausea', 'sharp abdominal pain', 'side pain', 'back pain'})"
0.0006384687548509452,"frozenset({'leg pain', 'lower abdominal pain', 'side pain'})"
0.0006323945277963379,"frozenset({'leg pain', 'nausea', 'side pain'})"
0.001223619294444782,"frozenset({'leg pain', 'sharp chest pain', 'side pain'})"
0.0006053979631091943,"frozenset({'vomiting', 'leg pain', 'side pain'})"
0.00055005500550055,"frozenset({'sharp abdominal pain', 'leg pain', 'side pain'})"
0.0015712000647917553,"frozenset({'side pain', 'leg pain', 'low back pain'})"
0.0014065210202001796,"frozenset({'leg pain', 'side pain', 'back pain'})"
0.0006762639454129463,"frozenset({'shortness of breath', 'leg pain', 'side pain'})"
0.0008038227135596995,"frozenset({'side pain', 'leg pain', 'low back pain', 'back pain'})"
0.0006506172089601599,"frozenset({'leg pain', 'side pain', 'headache'})"
0.0005412811219772283,"frozenset({'nausea', 'side pain', 'headache'})"
0.000515634385524442,"frozenset({'lower abdominal pain', 'side pain', 'headache'})"
0.0005345319808054425,"frozenset({'side pain', 'low back pain', 'headache'})"
0.0005487051772661929,"frozenset({'vomiting', 'side pain', 'headache'})"
0.0026186667746529255,"frozenset({'side pain', 'low back pain', 'back pain'})"
0.0017898722387576181,"frozenset({'sharp abdominal pain', 'low back pain', 'side pain'})"
0.0010299189428145269,"frozenset({'side pain', 'nausea', 'low back pain'})"
0.0014942598554333962,"frozenset({'side pain', 'lower abdominal pain', 'low back pain'})"
0.0018276674293196192,"frozenset({'vomiting', 'low back pain', 'side pain'})"
0.0008895368064413804,"frozenset({'sharp abdominal pain', 'low back pain', 'side pain', 'back pain'})"
0.0010002227216586689,"frozenset({'sharp abdominal pain', 'vomiting', 'low back pain', 'side pain'})"
0.0006188962454527661,"frozenset({'sharp abdominal pain', 'nausea', 'low back pain', 'side pain'})"
0.0005277828396336566,"frozenset({'side pain', 'nausea', 'low back pain', 'back pain'})"
0.0005493800913833715,"frozenset({'side pain', 'nausea', 'lower abdominal pain', 'low back pain'})"
0.0005358818090397997,"frozenset({'vomiting', 'nausea', 'low back pain', 'side pain'})"
0.0008382433335358076,"frozenset({'vomiting', 'lower abdominal pain', 'low back pain', 'side pain'})"
0.0007565787253571983,"frozenset({'side pain', 'lower abdominal pain', 'low back pain', 'back pain'})"
0.0008017979712081637,"frozenset({'sharp abdominal pain', 'lower abdominal pain', 'low back pain', 'side pain'})"
0.0008659148123401297,"frozenset({'vomiting', 'low back pain', 'side pain', 'back pain'})"
0.0009678268440340967,"frozenset({'sharp chest pain', 'side pain', 'cough'})"
0.0007498295841854124,"frozenset({'weakness', 'side pain', 'cough'})"
0.0006695148042411603,"frozenset({'leg pain', 'side pain', 'cough'})"
0.0009145086287769881,"frozenset({'shortness of breath', 'side pain', 'cough'})"
0.015882079005446557,"frozenset({'sharp abdominal pain', 'pelvic pain'})"
0.002364899066593776,"frozenset({'pelvic pain', 'side pain'})"
0.014264309866569479,"frozenset({'pelvic pain', 'lower abdominal pain'})"
0.007929565962731243,"frozenset({'pelvic pain', 'back pain'})"
0.005277828396336566,"frozenset({'nausea', 'pelvic pain'})"
0.004648133525008943,"frozenset({'burning abdominal pain', 'pelvic pain'})"
0.001903257810443621,"frozenset({'skin swelling', 'pelvic pain'})"
0.0018215932022650119,"frozenset({'skin growth', 'pelvic pain'})"
0.0012418419756086037,"frozenset({'skin lesion', 'pelvic pain'})"
0.0012377924909055323,"frozenset({'abnormal appearing skin', 'pelvic pain'})"
0.0017972962940465825,"frozenset({'pelvic pain', 'skin rash'})"
0.0012357677485539966,"frozenset({'pelvic pain', 'itching of skin'})"
0.0024755849818110646,"frozenset({'hip pain', 'pelvic pain'})"
0.0023851464901091337,"frozenset({'leg pain', 'pelvic pain'})"
0.0025248537123651014,"frozenset({'pelvic pain', 'low back pain'})"
0.0027367767451591785,"frozenset({'vomiting', 'pelvic pain'})"
0.002100332732659769,"frozenset({'pelvic pain', 'headache'})"
0.001208771183866853,"frozenset({'sharp abdominal pain', 'pelvic pain', 'side pain'})"
0.0011837993615312452,"frozenset({'pelvic pain', 'side pain', 'back pain'})"
0.0012107959262183886,"frozenset({'pelvic pain', 'side pain', 'lower abdominal pain'})"
0.0005703024290159077,"frozenset({'burning abdominal pain', 'pelvic pain', 'side pain'})"
0.0005588288890238717,"frozenset({'nausea', 'pelvic pain', 'side pain'})"
0.0006047230489920158,"frozenset({'sharp abdominal pain', 'pelvic pain', 'side pain', 'lower abdominal pain'})"
0.0006161965889840518,"frozenset({'sharp abdominal pain', 'pelvic pain', 'side pain', 'back pain'})"
0.0006101223619294445,"frozenset({'pelvic pain', 'side pain', 'lower abdominal pain', 'back pain'})"
