antecedents,consequents,fitness,support,confidence,lift,cooccurrence_score,combined_score
"frozenset({'cough', 'coryza'})",frozenset({'nasal congestion'}),0.008004403430763675,0.008111117860252284,0.49741318654029226,7.609178439360654,93547,0.03069981617783543
frozenset({'hip pain'}),frozenset({'leg pain'}),0.007981962566274802,0.017748891453562534,0.45369539714305435,6.928245324342186,26298,0.05579032148884846
"frozenset({'itching of skin', 'skin rash'})",frozenset({'abnormal appearing skin'}),0.007935706291618197,0.008108418203783569,0.4933070542826641,7.43278992768739,83291,0.029730712992645108
"frozenset({'anxiety and nervousness', 'depressive or psychotic symptoms'})",frozenset({'depression'}),0.007914896244062062,0.008279171475429751,0.48194711821789177,11.2865160923976,79837,0.04503458557449769
"frozenset({'lower abdominal pain', 'pelvic pain'})",frozenset({'sharp abdominal pain'}),0.007869678653707761,0.007519893093603839,0.5271823988644428,4.023003306150458,87749,0.015948614399362612
"frozenset({'back pain', 'neck pain'})",frozenset({'low back pain'}),0.00783067858584146,0.00818873298372782,0.48204211362733407,10.76600199722965,80503,0.04249679208079413
"frozenset({'skin swelling', 'skin growth'})",frozenset({'abnormal appearing skin'}),0.007825749791128381,0.007862749465130561,0.5015498536249353,7.556986400037197,88983,0.029801435660732078
frozenset({'sore throat'}),frozenset({'fever'}),0.007792676038397496,0.02115653283119723,0.3722170108172934,4.514556842344604,31347,0.03555132887734044
frozenset({'anxiety and nervousness'}),frozenset({'depression'}),0.007790502562606543,0.017614583544243993,0.4461596321178863,10.448424064235386,26099,0.08211328824442592
"frozenset({'acne or pimples', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.007734006960926092,0.007448352197182908,0.5230331753554502,7.880681380649297,78853,0.030701048649412355
"frozenset({'coryza', 'fever'})",frozenset({'cough'}),0.007729595103471418,0.0076508264323364855,0.5090027389879215,5.1622876405867055,95174,0.020103453444977708
frozenset({'coryza'}),frozenset({'nasal congestion'}),0.007687971811846953,0.015716725046737802,0.49299263273774235,7.541555015626447,23287,0.058433700245597645
"frozenset({'leg pain', 'back pain'})",frozenset({'low back pain'}),0.007651959334949185,0.00871516599512712,0.4428174616782689,9.889952645345122,87916,0.03816757904302712
"frozenset({'sharp abdominal pain', 'burning abdominal pain'})",frozenset({'vomiting'}),0.007612051981383967,0.009908414154298866,0.3879141785129208,3.4364136466090267,118961,0.013208248760074204
"frozenset({'skin dryness, peeling, scaliness, or roughness', 'skin swelling'})",frozenset({'abnormal appearing skin'}),0.007595203111617601,0.00723237967968576,0.5288717796861119,7.968653200804593,83933,0.030480110546152253
"frozenset({'sore throat', 'coryza'})",frozenset({'cough'}),0.007593906879552143,0.007444302712479837,0.5138358334109755,5.211304711998796,84161,0.019934019553158495
"frozenset({'sore throat', 'cough'})",frozenset({'nasal congestion'}),0.007552348590975845,0.009959032713087259,0.3829345513053407,5.857941466621764,116560,0.022340183717531867
"frozenset({'skin growth', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.007550814583102856,0.007552288971228411,0.5036683620650853,7.588906535901795,83267,0.028867054658960466
"frozenset({'nausea', 'burning abdominal pain', 'vomiting'})",frozenset({'sharp abdominal pain'}),0.007429856013390433,0.0048546572448655905,0.5138591227318188,3.92133150518412,264562,0.00978219244503191
"frozenset({'cough', 'fever'})",frozenset({'sore throat'}),0.007426242402400666,0.011113135853462647,0.33781953961675765,5.943420892028466,118623,0.022312995390689466
"frozenset({'coryza', 'fever'})",frozenset({'nasal congestion'}),0.007422920510457418,0.007496946013619767,0.4987652103632526,7.6298610243856455,81024,0.028529697318140302
frozenset({'anxiety and nervousness'}),frozenset({'depressive or psychotic symptoms'}),0.007411208280998068,0.017178589024546626,0.43511633075200434,7.124845984852046,25453,0.05325597673032559
frozenset({'skin swelling'}),frozenset({'skin lesion'}),0.0073796194791958935,0.021437972018060702,0.347907995618839,6.966387911083912,31764,0.05195839931307796
"frozenset({'vomiting', 'diarrhea'})",frozenset({'sharp abdominal pain'}),0.007356276786247552,0.007963311668590172,0.4655539772727273,3.552708121124643,106218,0.013171137496185205
"frozenset({'acne or pimples', 'skin swelling'})",frozenset({'abnormal appearing skin'}),0.007352548917857437,0.007328892398442298,0.5052812805360384,7.613208811859543,83949,0.028192870473419424
frozenset({'low back pain'}),frozenset({'leg pain'}),0.007311761666867245,0.018175437175619404,0.40593298262009925,6.198879923719402,26930,0.045735394490012314
"frozenset({'skin dryness, peeling, scaliness, or roughness', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.007283335441158945,0.007106845653890542,0.516049987748101,7.775463816739667,79371,0.02851641723025111
"frozenset({'skin moles', 'abnormal appearing skin'})",frozenset({'skin swelling'}),0.007246670565599149,0.006969163173986111,0.5235246400324478,8.49606520697565,78896,0.03099813725185236
"frozenset({'nausea', 'diarrhea'})",frozenset({'vomiting'}),0.007210083523380178,0.008235302057813143,0.4413498752125004,3.9097842206324764,111156,0.014210695401634586
"frozenset({'skin moles', 'skin swelling'})",frozenset({'abnormal appearing skin'}),0.007202848731902723,0.006969163173986111,0.5203587986293087,7.840385827970018,78896,0.028432887744844156
"frozenset({'nausea', 'lower abdominal pain'})",frozenset({'sharp abdominal pain'}),0.00719740381024705,0.007229005109099867,0.5014043628873701,3.8262874746181246,120008,0.013868970882396492
"frozenset({'leg pain', 'neck pain'})",frozenset({'low back pain'}),0.007164087892077658,0.006743066944731283,0.5347928487313992,11.944144950782356,69120,0.043072306417192445
frozenset({'burning abdominal pain'}),frozenset({'vomiting'}),0.007134164886915582,0.019491519704117652,0.3695693902360996,3.2739027504610996,28880,0.023583457141633506
"frozenset({'cough', 'coryza'})",frozenset({'fever'}),0.007124945678962459,0.0076508264323364855,0.4691858780679608,5.690675747226656,95174,0.020427589495750534
"frozenset({'depressive or psychotic symptoms', 'depression'})",frozenset({'anxiety and nervousness'}),0.00712242722644906,0.008279171475429751,0.43369277001944495,10.985000368475493,79837,0.03944292698799077
"frozenset({'coryza', 'nasal congestion'})",frozenset({'fever'}),0.007099062253119646,0.007496946013619767,0.4770043371838365,5.785504508600741,81024,0.02068940245647023
"frozenset({'sharp abdominal pain', 'vomiting', 'burning abdominal pain'})",frozenset({'nausea'}),0.007084198928917599,0.0048546572448655905,0.4899530004768067,5.11393513589849,264562,0.012163770276989833
"frozenset({'sharp abdominal pain', 'pelvic pain'})",frozenset({'lower abdominal pain'}),0.00706806299278062,0.007519893093603839,0.4734829168791433,7.8149207246554555,87749,0.027825344999955943
frozenset({'coryza'}),frozenset({'fever'}),0.007034142316208974,0.015031012303684357,0.471483614192565,5.71854459803618,22271,0.0405266165005718
frozenset({'nasal congestion'}),frozenset({'sore throat'}),0.007027423292133168,0.02154798301916081,0.329630279690678,5.799343321529939,31927,0.04119196818210639
"frozenset({'low back pain', 'back pain'})",frozenset({'leg pain'}),0.007011430830053516,0.00871516599512712,0.40575019638648857,6.196088650375343,87916,0.02191048670965066
"frozenset({'sore throat', 'fever'})",frozenset({'nasal congestion'}),0.006971997756733789,0.008624727503425189,0.4076626152422879,6.236219035547671,98740,0.021926414980042077
frozenset({'neck pain'}),frozenset({'back pain'}),0.006908242170835174,0.016987588329385087,0.41010851500635453,4.649126505760976,25170,0.03238932357833265
"frozenset({'nausea', 'headache'})",frozenset({'vomiting'}),0.006887022083163403,0.007127767991523079,0.48654749838754263,4.310176208541818,105375,0.014947681114726908
"frozenset({'skin growth', 'abnormal appearing skin'})",frozenset({'skin swelling'}),0.0068784393290320526,0.007862749465130561,0.4408370227418927,7.154162009704054,88983,0.02479769243397869
frozenset({'side pain'}),frozenset({'sharp abdominal pain'}),0.006845551496162667,0.01713471960693002,0.4029265660461204,3.074789505171251,25388,0.021228450460606122
"frozenset({'sore throat', 'nasal congestion'})",frozenset({'fever'}),0.006845341362493629,0.008624727503425189,0.40025683590691263,4.854647113712193,98740,0.016758757114023578
"frozenset({'irregular appearing scalp', 'abnormal appearing skin'})",frozenset({'skin swelling'}),0.0068424098141290956,0.00702180647512604,0.49063900023579343,7.96237773799965,82160,0.027431761702726726
"frozenset({'sore throat', 'nasal congestion', 'fever'})",frozenset({'cough'}),0.006808521407586568,0.00443891014868358,0.5146725095860396,5.219790251951478,232115,0.011925054648729677
"frozenset({'low back pain', 'hip pain'})",frozenset({'leg pain'}),0.006786197356925394,0.006838229835253464,0.4995808885163453,7.628948798664426,73509,0.026062388223673343
"frozenset({'itching of skin', 'abnormal appearing skin'})",frozenset({'skin swelling'}),0.006777271668209223,0.008301443641296645,0.411577714572528,6.679324779306436,93453,0.022821176847018267
"frozenset({'sore throat', 'coryza'})",frozenset({'nasal congestion'}),0.0067579197984826535,0.007021131561008862,0.4846268517655828,7.413579477534005,76680,0.025225659665893498
"frozenset({'cough', 'coryza'})",frozenset({'sore throat'}),0.006746856714393705,0.007444302712479837,0.45652083936923143,8.031789686977797,84161,0.027295871176432496
"frozenset({'skin rash', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.0067239786682040895,0.007089972800961078,0.4775434130375488,7.19527490970179,85673,0.024361544561863412
"frozenset({'irregular appearing scalp', 'skin swelling'})",frozenset({'abnormal appearing skin'}),0.006708896292070443,0.00702180647512604,0.48106533499791926,7.248340654142052,82160,0.024484515527293017
"frozenset({'skin moles', 'skin lesion'})",frozenset({'skin swelling'}),0.006673003738603378,0.006456228444930383,0.5201174423662462,8.440771202966003,70000,0.028344084597629684
"frozenset({'skin rash', 'abnormal appearing skin'})",frozenset({'itching of skin'}),0.00665242293219295,0.008108418203783569,0.41353435219606227,9.870027603832852,83291,0.033095283020036566
frozenset({'suprapubic pain'}),frozenset({'painful urination'}),0.006615162333177258,0.014989842542536462,0.4446090403170917,12.68317051918801,22210,0.0845285056571184
frozenset({'upper abdominal pain'}),frozenset({'sharp abdominal pain'}),0.006588824656177058,0.013078485762686698,0.5070783723668716,3.8695866419354177,19378,0.02566239153354939
frozenset({'pelvic pain'}),frozenset({'sharp abdominal pain'}),0.0065505472294388,0.015882079005446557,0.41571564851782494,3.1723847989009415,23532,0.020945444677069668
"frozenset({'pain in eye', 'symptoms of eye'})",frozenset({'diminished vision'}),0.006544607634701823,0.007011007849251183,0.4700027146864537,13.248652517350187,66191,0.04365686334930775
frozenset({'coryza'}),frozenset({'sore throat'}),0.006536578939536173,0.014487706439355591,0.45444152764840373,7.995207360400042,21466,0.05263896971675163
"frozenset({'skin moles', 'skin lesion'})",frozenset({'abnormal appearing skin'}),0.006531901986475873,0.006387387204978167,0.5145715528490648,7.753187840892784,72739,0.025482927776179623
"frozenset({'diminished vision', 'pain in eye'})",frozenset({'symptoms of eye'}),0.0065218863764001855,0.007011007849251183,0.46837098155913254,13.772822994953458,66191,0.0452265437056566
"frozenset({'sharp abdominal pain', 'diarrhea'})",frozenset({'vomiting'}),0.006509915809583363,0.007963311668590172,0.41199064213135933,3.6496997101854114,106218,0.011973970896803413
frozenset({'irregular appearing scalp'}),frozenset({'skin swelling'}),0.006496154043986946,0.014596367612221346,0.44829301660344506,7.275162255321209,21627,0.047604658046668746
"frozenset({'cough', 'sharp chest pain'})",frozenset({'shortness of breath'}),0.006496005228113534,0.0072479027043808675,0.45137020847343645,5.217316353620443,99226,0.017068384476190496
"frozenset({'itching of skin', 'abnormal appearing skin'})",frozenset({'skin rash'}),0.006466996520865638,0.008108418203783569,0.4020076961686465,7.994024280739737,83291,0.026057693440898356
"frozenset({'skin growth', 'skin lesion'})",frozenset({'skin swelling'}),0.00646459362559765,0.006986036026915575,0.4659044875545753,7.560971545180587,77209,0.024609643255856076
"frozenset({'insomnia', 'anxiety and nervousness'})",frozenset({'depression'}),0.006451906877374925,0.006895597535213644,0.4710465652374366,11.0312406441599,68921,0.035831097097738816
"frozenset({'leg pain', 'neck pain'})",frozenset({'back pain'}),0.006442705071235188,0.006393461432032774,0.5070656246654534,5.748264543485224,73013,0.018635324775836543
"frozenset({'nausea', 'sharp abdominal pain', 'burning abdominal pain'})",frozenset({'vomiting'}),0.0064080791420480145,0.0048546572448655905,0.44319162045594573,3.9260996812129973,264562,0.008447173900475596
frozenset({'painful urination'}),frozenset({'suprapubic pain'}),0.006362222163872483,0.014989842542536462,0.4276087793608009,12.68317051918801,22210,0.081296437651053
"frozenset({'nausea', 'sharp chest pain'})",frozenset({'vomiting'}),0.00635938718795717,0.007289072465528761,0.4393994873672647,3.892506328307834,111789,0.012466976506582973
"frozenset({'skin growth', 'abnormal appearing skin'})",frozenset({'skin lesion'}),0.0063479187040828,0.007552288971228411,0.42343058235895104,8.478625749551151,83267,0.02711354391966923
frozenset({'itching of skin'}),frozenset({'skin swelling'}),0.006336369588933194,0.016359918200409,0.3904702073164839,6.336779759853393,24240,0.04047973344047204
"frozenset({'lacrimation', 'diminished vision'})",frozenset({'pain in eye'}),0.006332850125597614,0.006458253187281918,0.49345090759075905,12.857996662973514,61836,0.04097626103542461
"frozenset({'low back pain', 'hip pain'})",frozenset({'back pain'}),0.0063320865202616,0.006604709550709673,0.48252058576993245,5.470013820228887,74900,0.017432432561032826
"frozenset({'skin dryness, peeling, scaliness, or roughness', 'abnormal appearing skin'})",frozenset({'skin swelling'}),0.006321899743153918,0.00723237967968576,0.4402086842213367,7.143964963310273,83933,0.0227446437631341
"frozenset({'cough', 'nasal congestion'})",frozenset({'sore throat'}),0.006312982941162784,0.009959032713087259,0.32009371136033316,5.631561909249496,116560,0.017952426762740187
frozenset({'difficulty breathing'}),frozenset({'shortness of breath'}),0.006304318624088389,0.01446003496055127,0.43912687026029923,5.075797557113372,21425,0.032230248042713086
frozenset({'palpitations'}),frozenset({'shortness of breath'}),0.006268637217238533,0.01251763213131129,0.5039124055860458,5.824643242069481,18547,0.036740627092114536
frozenset({'lacrimation'}),frozenset({'pain in eye'}),0.0062669614035012824,0.013677134584624107,0.461333576160448,12.02110583148062,20265,0.07584982883138826
"frozenset({'skin moles', 'skin growth'})",frozenset({'abnormal appearing skin'}),0.006262272720349303,0.006016859354647121,0.5235187033883375,7.887996961971567,63180,0.024846704591241088
"frozenset({'sharp abdominal pain', 'sharp chest pain'})",frozenset({'nausea'}),0.006254872899716381,0.007175686893842758,0.43895792906981546,4.581668801837719,104364,0.014431453369450547
"frozenset({'nasal congestion', 'vomiting'})",frozenset({'cough'}),0.006248063773690498,0.0060195590111158355,0.5220979921559445,5.295099231569606,87422,0.01664143613542705
frozenset({'irregular appearing scalp'}),frozenset({'abnormal appearing skin'}),0.006245991934346346,0.01431155385477198,0.4395456335634185,6.622752157193226,21205,0.041660958929953765
"frozenset({'arm pain', 'low back pain'})",frozenset({'back pain'}),0.006232700694191798,0.006236881356847341,0.5027747551686615,5.699621819961215,70492,0.017872569157336066
"frozenset({'sharp abdominal pain', 'vomiting', 'diarrhea'})",frozenset({'nausea'}),0.006230595825162338,0.0040791809242273925,0.5122468005763201,5.346628981084965,247594,0.011172034565396694
"frozenset({'coryza', 'nasal congestion'})",frozenset({'sore throat'}),0.006229463064981691,0.007021131561008862,0.4467299351569545,7.859533621762884,76680,0.02465181740675159
"frozenset({'sore throat', 'coryza'})",frozenset({'fever'}),0.0062113396357651295,0.00673024357650489,0.46454858846548036,5.634430850039279,75084,0.017616189778271583
"frozenset({'skin dryness, peeling, scaliness, or roughness', 'skin growth'})",frozenset({'abnormal appearing skin'}),0.006204780982698652,0.0059216964641249405,0.5269986185356479,7.940429778473142,67419,0.024779904517284797
"frozenset({'low back pain', 'back pain'})",frozenset({'neck pain'}),0.006193187117223238,0.00818873298372782,0.38124116260801255,9.203793029644704,80503,0.028733156554915457
"frozenset({'skin moles', 'skin swelling'})",frozenset({'skin lesion'}),0.006184735172364107,0.006456228444930383,0.4820600685345697,9.652602056132979,70000,0.03004169614514771
"frozenset({'itching of skin', 'skin dryness, peeling, scaliness, or roughness'})",frozenset({'abnormal appearing skin'}),0.006174096342933512,0.00596489096762437,0.5206173421300659,7.844281372360909,71204,0.024359832827898574
"frozenset({'nausea', 'sharp chest pain'})",frozenset({'sharp abdominal pain'}),0.006163768928924303,0.007175686893842758,0.4325643842304406,3.300959879598462,104364,0.010246003137795683
"frozenset({'skin moles', 'skin growth'})",frozenset({'skin swelling'}),0.0061632155260921565,0.005968940452327441,0.5193493452345997,8.428306071782579,60101,0.026127456492297398
"frozenset({'nasal congestion', 'fever'})",frozenset({'sore throat'}),0.006162274112680711,0.008624727503425189,0.360316923250437,6.3392281329479205,98740,0.019700008980653206
"frozenset({'acne or pimples', 'skin lesion'})",frozenset({'skin swelling'}),0.0061372434742022796,0.006632381029513994,0.4657345971563981,7.558214464060464,74355,0.023346790166389107
"frozenset({'hip pain', 'back pain'})",frozenset({'leg pain'}),0.006127445246070974,0.0068888483940418585,0.4477932789330526,6.838115860500026,78253,0.02109408311554797
"frozenset({'leg pain', 'back pain', 'neck pain'})",frozenset({'low back pain'}),0.006123452334044947,0.003622264066897487,0.5665575847144516,12.65358340308198,155276,0.02596795187458793
"frozenset({'nausea', 'upper abdominal pain'})",frozenset({'sharp abdominal pain'}),0.006118370454991539,0.006147117779262589,0.5007146783947224,3.8210243948944864,93132,0.011760930067668816
frozenset({'skin rash'}),frozenset({'skin swelling'}),0.006116157727111367,0.017614583544243993,0.35027042986941526,5.684394171134901,26099,0.03507196027484751
"frozenset({'skin dryness, peeling, scaliness, or roughness', 'abnormal appearing skin'})",frozenset({'skin lesion'}),0.0061051004262764755,0.007106845653890542,0.4325678839912911,8.661587878714746,79371,0.026627394439769764
"frozenset({'irregular appearing scalp', 'skin growth'})",frozenset({'abnormal appearing skin'}),0.00610202826995076,0.006298298541510592,0.48746343501880485,7.344742546186201,66776,0.022549756893971373
"frozenset({'skin dryness, peeling, scaliness, or roughness', 'acne or pimples'})",frozenset({'abnormal appearing skin'}),0.006095873508077539,0.005845431168883759,0.5244640910742401,7.902241372240044,63987,0.024226049501803324
"frozenset({'skin moles', 'abnormal appearing skin'})",frozenset({'skin lesion'}),0.006090789968326114,0.006387387204978167,0.479821537213547,9.607778488610144,72739,0.02944597665387405
"frozenset({'skin rash', 'skin lesion'})",frozenset({'skin swelling'}),0.006073246341076661,0.006736992717676676,0.4537685244113101,7.364022010564138,79861,0.02251207482734657
"frozenset({'lacrimation', 'pain in eye'})",frozenset({'diminished vision'}),0.006060036004716948,0.006458253187281918,0.4721934369602763,13.310405603579184,61836,0.040590677785154614
"frozenset({'irregular appearing scalp', 'skin lesion'})",frozenset({'skin swelling'}),0.006056368633820913,0.006390761775564059,0.4768595457521277,7.7387566610575576,73248,0.023583828091392877
"frozenset({'coryza', 'nasal congestion', 'fever'})",frozenset({'cough'}),0.006054253506122903,0.0039010035972922444,0.5203456967951026,5.277327514462702,200026,0.010712291097595264
"frozenset({'foreign body sensation in eye', 'pain in eye'})",frozenset({'diminished vision'}),0.006029624619436226,0.005932495089999798,0.5111951148589706,14.409802823908281,56576,0.04370006878517957
frozenset({'neck pain'}),frozenset({'low back pain'}),0.006029381671430476,0.01586588106663427,0.3830286440512269,8.554620084583913,23508,0.05198716975000021
"frozenset({'acne or pimples', 'skin swelling'})",frozenset({'skin lesion'}),0.006025584537977204,0.006632381029513994,0.4572611790982271,9.156037775480705,74355,0.027767793828592457
frozenset({'hip pain'}),frozenset({'back pain'}),0.006003601792444904,0.015383992386968758,0.3932440825339866,4.457945691066878,22794,0.026969073436038295
